,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold
2019-11-01,-0.0043214276976617505,0.009221310580126207,0.011072333470039553,0.01705744526168207
2019-11-04,0.007752294252897141,0.013267727945042385,0.0153059347957607,0.022208644581692916
2019-11-05,-0.0020213577338974442,0.012146424537315736,0.016433722763779635,0.02362186601510663
2019-11-06,-0.009100503544095861,0.012377044696629147,0.016431123227638178,0.017157540794016324
2019-11-07,-0.021025127628750306,0.01593115034538406,0.02314651854323113,0.02000111650833425
2019-11-08,-0.056588284751835194,0.018433647942885267,0.023384559557545037,0.023112696662179966
2019-11-11,-0.07161033228820668,0.016486497330767236,0.02376343528812508,0.0204921687732611
2019-11-12,-0.03988952080409558,0.018627001511374086,0.02376343528812508,0.020716093325207297
2019-11-13,-0.009081431087667569,0.018956794066430804,0.027162738145455778,0.016908034583134723
2019-11-14,-0.023240481695224302,0.020438882112544743,0.027102515515395886,0.016658435612713518
2019-11-15,-0.05841550356680336,0.027796706999441367,0.035311362410787694,0.021548195441207563
2019-11-18,-0.10614144196531294,0.028554575904196078,0.03646895505942016,0.018914876499924738
2019-11-19,-0.12246402673397394,0.028257762744653858,0.03268378425771834,0.022715144886700456
2019-11-20,-0.14076992508208097,0.024426931891284642,0.028500461228551766,0.018431749148146714
2019-11-21,-0.1925762143387253,0.022777260339069016,0.026472567553407433,0.013524886475716924
2019-11-22,-0.25734524603084163,0.02504936770909527,0.030506378544181256,0.016706416583317285
2019-11-25,-0.2523580174417016,0.032963040964283374,0.03753773958527851,0.03758064599693589
2019-11-26,-0.23398179631995897,0.035300876647347934,0.0395766542991165,0.03907012283235911
2019-11-27,-0.21383203486409763,0.03990544594039491,0.0411399370883625,0.04536515651223816
2019-11-29,-0.18479670112754343,0.03604150219114244,0.036969481362739254,0.039205757328873325
2020-01-02,-0.20451965651243953,0.04568555370859184,0.04890450542570535,0.03814640375723033
2020-01-03,-0.17816292215850082,0.037737218336350464,0.04037075571184312,0.03446505870850025
2020-01-06,-0.17416775196150913,0.04168877297251172,0.0428565454283063,0.035952598044211914
2020-01-07,-0.20989559396176294,0.038755513371955264,0.038498446721023205,0.032864950656235736
2020-01-08,-0.19588427124966534,0.04427696722063268,0.044346283360464867,0.03614827385635477
2020-01-09,-0.19690340970238795,0.05133390496120982,0.0520134210121439,0.03701989658117011
2020-01-10,-0.20177575770944534,0.04830414773611191,0.047165581800747036,0.03243191456489436
2020-01-13,-0.21182882589534924,0.055489026181972045,0.050186821361609235,0.03986041142303365
2020-01-14,-0.16150465793832036,0.05387856155979809,0.05137119948444657,0.043671287164184225
2020-01-15,-0.10438024106133559,0.056257549900735615,0.05465575151310276,0.04781101661432263
2020-01-16,-0.0741586627915386,0.06500747234167226,0.0643265307401073,0.06192792042149087
2020-01-17,-0.0326588796499947,0.06831735262974581,0.06615803116357766,0.05844729774714752
2020-01-21,-0.02733234476306834,0.06622335315830985,0.06061961377372094,0.049855973932747766
2020-01-22,-0.012189759318852689,0.06635194566439839,0.06026465156659144,0.04895882387026984
2020-01-23,-0.016674381765913737,0.06757420619644483,0.059313181778060775,0.0493012982546468
2020-01-24,-0.015540291500060643,0.05803768187745706,0.05310630282598061,0.03501879480049741
2020-01-27,0.02507139949241477,0.040940750040776575,0.03648599087604354,0.023692995523144633
2020-01-28,0.049747072924331004,0.05179208282939385,0.0432578647601507,0.03247790577628584
2020-01-29,0.07600520035398106,0.05092303831813383,0.04367909527811209,0.02680277148864585
2020-01-30,0.10109092093210559,0.054328122615388,0.04820908630791543,0.02617998361610674
2020-01-31,0.05942146181746599,0.03500777572631075,0.02606014641921872,0.004688573315405176
2020-02-03,0.07500598989884955,0.04266791048624685,0.031268030639122424,0.015923122129811507
2020-02-04,0.06578490312203722,0.05843959167565904,0.045971683341040404,0.031095969239127497
2020-02-05,0.22520439719030572,0.07059253049574266,0.06337127040245649,0.04663055245910286
2020-02-06,0.22735840957578102,0.0741888251132985,0.06659451788374082,0.04385143138412695
2020-02-07,0.21892370221057456,0.06844832570014847,0.056481165079298234,0.030902721563147217
2020-02-10,0.22722518883051368,0.07639506081944858,0.06279012260464323,0.037656672229930965
2020-02-11,0.24970077452768846,0.07825889015933418,0.06277268076408893,0.043761297675150024
2020-02-12,0.28765169702488946,0.08518350377639572,0.0727118565543472,0.05112090418660742
2020-02-13,0.28449956956969635,0.08402505984293418,0.06805139738598043,0.05383016326625856
2020-02-14,0.3293199780275551,0.0857605585621477,0.06713515114387514,0.04999045740575436
2020-02-18,0.35991201539115636,0.08295884781705176,0.061096352720765745,0.047461373902352166
2020-02-19,0.23537707480732029,0.08812434368158417,0.06529290229131868,0.05307702485753918
2020-02-20,0.20349543890289246,0.08364502665047979,0.06063473734284863,0.055252393745653716
2020-02-21,0.22563494851370924,0.07242743305221122,0.05234199397203443,0.044332940435074075
2020-02-24,0.14993198965116372,0.036256803081333056,0.014215096542352423,0.012426077840382188
2020-02-25,0.07570904316444715,0.0043702544363475315,-0.018197100191368776,-0.02313901412374675
2020-02-26,-0.04418374707493933,0.000669272794450837,-0.02269450433903375,-0.03510663122603341
2020-02-27,-0.02434307009175507,-0.045313032945288545,-0.06685329898246573,-0.06983305018546815
2020-02-28,-0.05393503177652248,-0.049332522241425814,-0.07988289240634228,-0.08324331142352115
2020-03-18,-0.06289666693284324,-0.09872892089386176,-0.13978014413149364,-0.18416929225140022
2020-03-19,0.01586894537912298,-0.0968157444350558,-0.13167961180405285,-0.13035032844566508
