date,Strategy Return,BITW Buy&Hold
2020-12-11,-0.04469831625276832,0.05556979733891643
2020-12-14,-0.04819477682741724,0.5209357233852523
2020-12-15,-0.04450428059827549,0.9918134263998832
2020-12-16,-0.004164685754628472,2.055327890712878
2020-12-17,-0.01002721843819443,0.82725002656498
2020-12-18,0.027236221118652315,0.2836814894708153
2020-12-21,-0.018063282602826525,0.5422077284591644
2020-12-22,-0.0022972537205746546,0.687070096389875
2020-12-23,-0.11481356868525161,0.4987828417535982
2020-12-24,-0.058357605095335496,0.30636735197695586
2020-12-28,-0.010706284244836217,0.32396474584986357
2020-12-28,0.032989912015698675,0.34179918504593365
2020-12-29,0.0021572548921866552,0.22852152590746821
2020-12-29,-0.22176422456437506,0.12480701765096636
2020-12-30,-0.23270147364913407,0.05661601758940393
2020-12-30,-0.07502048149333396,-0.007440928882141873
2020-12-31,-0.05804772840350725,-0.06506847693365037
2020-12-31,0.15563534230037557,-0.1193501946048181
2021-01-04,0.16973058932651774,-0.2409744737373174
2021-01-05,0.24587876022404265,-0.35858025968043594
2021-01-06,0.4398316466587606,-0.2028474894923682
2021-01-07,0.4606759966165752,-0.08266721326843862
2021-01-08,0.44170874645188807,0.05159839566045488
2021-01-11,0.22569143726249474,-0.09564724557195581
2021-01-12,0.20316473085119569,-0.08494468013229728
2021-01-13,0.29039833413758886,-0.1220187157269147
2021-01-14,0.36090587956658804,-0.13761865923890282
2021-01-15,0.27925644238314584,-0.19170854713481378
2021-01-19,0.31271766139349166,-0.18769385641917102
2021-01-20,0.30232844562227856,-0.22334505876789035
2021-01-21,0.05355978591348687,-0.32868202038366934
2021-01-22,0.17420227008674116,-0.2975728985563477
2021-01-25,0.12629408987789392,-0.3385025587941587
2021-01-26,0.15772211267953473,-0.36550620371422615
2021-01-27,0.038841624092687876,-0.39499769143792096
2021-01-28,0.10470928721322403,-0.3290138424820652
2021-01-29,0.11936265083649134,-0.27966367087907384
2021-02-01,0.1457018970171835,-0.30975169641992084
2021-02-02,0.21001992061554198,-0.20269551435837907
2021-02-03,0.2669420813689545,-0.1525340379454
2021-02-04,0.28913490780313444,-0.1747853478297352
2021-02-05,0.45048584369674116,-0.16515612967378657
2021-02-08,0.5075736881622508,-0.0904731668623967
2021-02-09,0.608418952678891,-0.055023493845724136
2021-02-10,0.6350779883621576,-0.08772037851091541
2021-02-11,0.7825771631592222,-0.03784844975114143
2021-02-12,0.890678716835636,-0.04920441186034896
2021-02-16,0.9058399590241879,0.0011351162891117816
2021-02-17,1.0046485841151003,0.25294828052968765
2021-02-18,1.1210699855837856,0.4583202959605308
2021-02-19,1.2511406213037,0.6604232918259301
2021-02-22,1.1547466904474732,0.6592018686937666
2021-02-23,0.8475159336878932,0.2932293995618007
2021-02-24,0.9917367548382119,0.4201493194239412
2021-02-25,0.8209091847903467,0.3866270363703854
2021-02-26,0.7872734062223867,0.13717613655235272
2021-03-01,0.9430351555940322,0.20359125776938036
2021-03-02,0.9471392827311143,0.1385614132470372
2021-03-03,1.072357634904038,0.0227416084730252
2021-03-04,0.9975786913706162,-0.09915744738621668
2021-03-05,1.0550847243793227,-0.035866146999977366
2021-03-08,1.138641993536746,0.07421011925808374
2021-03-09,1.2345262312494203,0.19190294588416856
2021-03-10,1.1713960666727075,0.12245206263774877
2021-03-11,1.231746311930915,0.12301318264671002
2021-03-12,1.1940301821567978,0.12805285699663949
2021-03-15,1.227033874150099,0.13152704021937156
2021-03-16,1.2939587436906876,0.09375083477130408
2021-03-17,1.3728189959970862,0.09375083477130408
2021-03-18,1.3517834502492665,0.04676218718621161
2021-03-19,1.4396687716116716,0.0026995713874653493
2021-03-22,1.3205499440882544,-0.037859492246338555
2021-03-23,1.3162890046798745,-0.06061370879875816
2021-03-24,1.1952269234751252,-0.10868602820123496
2021-03-25,1.1668830289268466,-0.1290211033424543
2021-03-26,1.3342547385422079,-0.1290211033424543
2021-03-29,1.4134344437300244,-0.09185951267643422
2021-03-30,1.4818288519335723,-0.06330620710609947
2021-03-31,1.521626986918342,-0.07058263927795483
2021-04-01,1.6232384228740613,-0.07797140099919442
2021-04-05,1.7609976963377756,-0.06347886919257673
2021-04-06,1.7934374455368776,-0.09016735050290559
2021-04-07,1.5445960601149307,-0.09732789339672354
2021-04-08,1.7427603026303888,-0.10854135569314316
2021-04-09,1.8088493571261366,-0.10354098512477128
2021-04-12,1.7763727426833902,-0.06269916449194946
2021-04-13,1.904925616135849,0.044229354464146775
2021-04-14,1.996149152118778,-0.01935327304523693
2021-04-15,2.1538436541799717,0.03634911494491022
2021-04-16,2.207927004642824,-0.0028648019731692953
2021-04-19,2.0187253310210043,-0.07659093891752333
2021-04-20,2.080756848882383,-0.06729939829515108
2021-04-21,1.925586113390613,-0.0259347635829017
2021-04-22,1.660905490844482,-0.12097065004388674
2021-04-23,1.6505402698324096,-0.15435552378247586
2021-04-26,2.0153407554784835,-0.15435552378247586
2021-04-27,2.202301959547552,-0.0963758794068087
2021-04-28,2.2153837792348137,-0.13542094188605092
2021-04-29,2.1982620355660623,-0.14846187089350493
2021-04-30,2.3743949174164247,-0.11959344019465246
2021-05-03,2.9723169698582255,-0.14495446503490583
2021-05-04,2.5981261896684047,-0.17705696473069255
2021-05-05,2.7950785892799868,-0.2148234767440289
2021-05-06,2.6462432203497075,-0.2571553330481876
2021-05-07,2.654558290950205,-0.2858571947790014
2021-05-10,2.562768116274287,-0.24179920739088745
2021-05-11,2.789937520736555,-0.24396237359395756
2021-05-12,2.419125903569327,-0.29813201750142315
