,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold,FTSE Buy&Hold,DAX Buy&Hold,NASDAQ Buy&Hold,CMC Buy&Hold
2019-10-02,-0.0053595912761246756,-0.017823047219804877,-0.01878134410543275,-0.009283463950587212,-0.03284187885377854,-0.027996285219488826,-0.0157299949016938,-0.01240562943983825
2019-10-04,0.08170426306399475,0.013441204290312037,0.014123715103576018,0.009608199617539448,0.01093242177447351,0.007315543730692653,0.01390275640553007,0.007947013994944463
2019-10-07,0.03320191333776057,-0.004323714639904885,-0.0036078468024047794,-0.0019409189507797464,0.005922000485577783,0.007019462871239668,-0.003285098578386325,0.014703091101461396
2019-10-08,0.0661153316504175,-0.01564680295380061,-0.011929024071477556,-0.016961185058530504,-0.007628420681717429,-0.010572763332554302,-0.016795029447266074,-0.005986057382640908
2019-10-09,-0.04104573957217428,0.009451532733429246,0.006930918391391927,0.004647600554966935,0.00325650781782727,0.010310696319891122,0.010168308553941685,0.048727850603913936
2019-10-10,0.05704891706911225,0.006740947518264484,0.00570223029461836,0.003980027326638158,0.002772946962689815,0.005766287191658392,0.005933915217918084,-0.004198532320001114
2019-10-11,0.05933710778721618,0.01031357146543943,0.012001658250587965,0.01770999689675179,0.008411064976638016,0.028163013790651448,0.013276238218729475,-0.02895746077908612
2019-10-14,0.07551785589398197,-0.0011145395668501479,-0.0010906088851037055,-0.004288546795817361,-0.00464713191677113,-0.0020074100327498456,-0.001041884887669653,0.01059561697659106
2019-10-15,-0.013644478772261937,0.009851713656050087,0.008824880715584627,0.011800458858557406,-0.0002634161762316012,0.011405480784597799,0.012355264352185813,-0.023970418166570973
2019-10-16,0.09087543119739622,-0.001607212362970678,-0.0008447778427349562,0.0011547257536301814,-0.00606417855482988,0.0031873917298916865,-0.003014806039926654,-0.021524236205144653
2019-10-17,-0.026873264282492426,0.0029445673437651365,0.0008847432267913291,0.010942694272219278,0.0019929631596902198,-0.0011972455531008563,0.004013255325414633,0.01372357392243373
2019-10-18,-0.04193914135476934,-0.004386574603715054,-0.009505657865068073,-0.004133463219859301,-0.004423355906173043,-0.0016885579580758758,-0.008286203046843355,-0.015421977692703592
2019-10-21,-0.00014437531467237363,0.006756314172238653,0.002143423257697563,0.01096556112711422,0.0018163786165885654,0.009011355281469235,0.009038678179388526,0.029018793981617108
2019-10-22,-0.009723649134536105,-0.0032722497545485396,-0.0014749781545795315,-0.000992523506989862,0.006802970291483135,0.0005278250537230633,-0.007215791223046608,-0.008052625394634028
2019-10-23,-0.08566085177451632,0.0029054682688602895,0.0017101032709785358,0.001282321928508523,0.006660637987236484,0.003404707458271261,0.0019095356634544203,-0.07843887053306542
2019-10-24,0.07391245272351937,0.0016326619782374152,-0.0010596644606106764,-0.0028181263280426805,0.009267268925215788,0.005758359862912954,0.008096625373861244,0.0041707775907733335
2019-10-25,0.02077671857390967,0.004086704748141656,0.005674162000188332,0.0065782747929725716,-0.0005186455589818451,0.0017394730967126293,0.0069780052933214876,0.1262209778711556
2019-10-28,-0.002060884477669611,0.0056205228861854195,0.0049089144872223045,0.008445666888008851,0.0009279336871461652,0.0036538044902378886,0.010003048616786359,0.07944344904728418
2019-10-29,-0.006458985166084952,-0.00029686753120383713,-0.0007111887244342086,0.003264463094732939,-0.003415863936130137,-0.00016149430869560888,-0.005919561828937603,0.0018228220444367338
2019-10-30,-0.005923625958377976,0.0030627432721326286,0.004247424139162348,-0.002679416196272655,0.0033476608801539243,-0.0022738747369608348,0.0032725603556240657,-0.02454686556520258
2019-10-31,0.02927132946064831,-0.002667263489567695,-0.0051798538094747215,-0.006634173955307077,-0.01130388243579361,-0.0033704803701759545,-0.0014003230244714615,-0.0032048211363768786
2019-11-01,0.0022566987905015727,0.009221905656933593,0.011072333470039553,0.01705744526168207,0.007422306489328179,0.007299114806757601,0.011276741367460374,0.005867654837544478
2019-11-04,0.022016981393529367,0.004009406991718478,0.004187238821174333,0.005064806657686383,0.009173978439362074,0.013429197675648652,0.005564927089039884,0.020113309315966887
