ticker,Year,Percentage of Recurrence,Trapping Time,Laminarity,Recurrence Rate,Divergence,Max Vertical Length,Entropy of Vertical Structures,Mean Recurrence Time,Recurrence Time Entropy,Num Most Probable Recurrence Time
1INCH-USD,2021,138.4525384,365,0.002739726,1.04E-05,0.002739726,1443.545722,7.64706869,1.384525384,7.64706869,127
1INCH-USD,2022,57.70278222,365,0.002739726,4.33E-06,0.002739726,566.9248574,3.687766179,0.577027822,3.687766179,2
1INCH-USD,2023,12.40562127,365,0.002739726,9.31E-07,0.002739726,109.4967839,0.9872937,0.124056213,0.9872937,51
1INCH-USD,2024,4.334724004,60,0.016666667,1.20E-05,0.016666667,4.721254081,0.31210593,0.04334724,0.31210593,10
FET-USD,2019,8.30039001,305,0.003278689,8.92E-07,0.003278689,89.35826602,0.677581506,0.0830039,0.677581506,0
FET-USD,2020,2.777821723,366,0.00273224,2.07E-07,0.00273224,41.09593432,0.260887384,0.027778217,0.260887384,229
FET-USD,2021,27.92323246,365,0.002739726,2.10E-06,0.002739726,168.2992833,1.99644695,0.279232325,1.99644695,257
FET-USD,2022,14.77106385,365,0.002739726,1.11E-06,0.002739726,139.0822872,1.144851939,0.147710638,1.144851939,4
FET-USD,2023,14.36788871,365,0.002739726,1.08E-06,0.002739726,163.336513,1.114703309,0.143678887,1.114703309,359
FET-USD,2024,20.52474865,60,0.016666667,5.70E-05,0.016666667,43.87790453,1.137933715,0.205247486,1.137933715,59
FTN-USD,2023,27.7771538,346,0.002890173,2.32E-06,0.002890173,189.320109,1.969667798,0.277771538,1.969667798,0
FTN-USD,2024,12.27820136,60,0.016666667,3.41E-05,0.016666667,13.18456972,0.756359971,0.122782014,0.756359971,58
STRD-USD,2022,11.6933272,25,0.04,0.000187393,0.04,5.573574305,0.622242458,0.116933272,0.622242458,0
STRD-USD,2023,63.93653008,365,0.002739726,4.80E-06,0.002739726,864.5355212,4.00142686,0.639365301,4.00142686,354
STRD-USD,2024,126.4742272,60,0.016666667,0.000351415,0.016666667,169.3883789,4.819132499,1.264742272,4.819132499,36
COMP5692-USD,2020,4580.629147,198,0.005050505,0.001168438,0.005050505,37049.85091,63.90828432,45.80629147,63.90828432,4
COMP5692-USD,2021,14504.33287,365,0.002739726,0.001088718,0.002739726,170572.3472,122.356982,145.0433287,122.356982,130
COMP5692-USD,2022,4757.939351,365,0.002739726,0.000357138,0.002739726,52262.7695,93.62230599,47.57939351,93.62230599,3
COMP5692-USD,2023,1107.612155,365,0.002739726,8.31E-05,0.002739726,11235.53442,38.02537008,11.07612155,38.02537008,196
COMP5692-USD,2024,741.1332027,60,0.016666667,0.002059275,0.016666667,2153.717663,13.93273286,7.411332027,13.93273286,58
GMT18069-USD,2022,75.53938665,297,0.003367003,8.56E-06,0.003367003,840.0964761,4.397832398,0.755393867,4.397832398,50
GMT18069-USD,2023,12.02444538,365,0.002739726,9.03E-07,0.002739726,122.1712845,0.956852225,0.120244454,0.956852225,25
GMT18069-USD,2024,3.628851429,60,0.016666667,1.01E-05,0.016666667,6.060478672,0.26638804,0.036288514,0.26638804,6
PAXG-USD,2019,3140.389599,97,0.010309278,0.003337999,0.010309278,6791.038208,34.44001959,31.40389599,34.44001959,52
PAXG-USD,2020,15967.58926,366,0.00273224,0.001192011,0.00273224,110600.3424,127.8791326,159.6758926,127.8791326,218
PAXG-USD,2021,5734.194043,365,0.002739726,0.000430417,0.002739726,76970.6449,102.2039396,57.34194043,102.2039396,4
PAXG-USD,2022,11017.35677,365,0.002739726,0.00082698,0.002739726,92202.03784,127.4190959,110.1735677,127.4190959,66
PAXG-USD,2023,7003.055986,365,0.002739726,0.00052566,0.002739726,55043.51978,112.5134623,70.03055986,112.5134623,336
PAXG-USD,2024,1366.456312,60,0.016666667,0.003796767,0.016666667,1781.777832,19.40534109,13.66456312,19.40534109,14
CSPR-USD,2021,9.823163448,234,0.004273504,1.79E-06,0.004273504,147.1246872,0.743925751,0.098231634,0.743925751,0
CSPR-USD,2022,2.78041833,365,0.002739726,2.09E-07,0.002739726,28.64455462,0.261636665,0.027804183,0.261636665,1
CSPR-USD,2023,0.706725704,365,0.002739726,5.30E-08,0.002739726,8.611872442,0.076095929,0.007067257,0.076095929,119
CSPR-USD,2024,0.647617369,60,0.016666667,1.80E-06,0.016666667,0.881458934,0.058911894,0.006476174,0.058911894,3
XRD-USD,2021,15.05952534,106,0.009433962,1.34E-05,0.009433962,39.47338571,0.981681292,0.150595253,0.981681292,58
XRD-USD,2022,5.603044679,365,0.002739726,4.21E-07,0.002739726,62.34804286,0.487980309,0.056030447,0.487980309,0
XRD-USD,2023,1.574868641,365,0.002739726,1.18E-07,0.002739726,31.20640998,0.156686667,0.015748686,0.156686667,107
XRD-USD,2024,0.304649271,60,0.016666667,8.46E-07,0.016666667,0.498615041,0.029952938,0.003046493,0.029952938,48
LUNA20314-USD,2022,96.27852154,217,0.004608295,2.04E-05,0.004608295,1823.880461,4.983308834,0.962785215,4.983308834,1
LUNA20314-USD,2023,56.86924156,365,0.002739726,4.27E-06,0.002739726,484.4778534,3.647509021,0.568692416,3.647509021,21
LUNA20314-USD,2024,5.802357293,60,0.016666667,1.61E-05,0.016666667,10.70627433,0.398591375,0.058023573,0.398591375,0
CORE23254-USD,2023,77.68534458,327,0.003058104,7.27E-06,0.003058104,1113.925599,4.600825288,0.776853446,4.600825288,1
CORE23254-USD,2024,6.796509566,60,0.016666667,1.89E-05,0.016666667,13.12235984,0.456025402,0.067965096,0.456025402,49
NFT9816-USD,2021,0.000102914,224,0.004464286,2.05E-11,0.004464286,0.000853,1.97E-05,1.03E-06,1.97E-05,105
NFT9816-USD,2022,7.79E-05,365,0.002739726,5.85E-12,0.002739726,0.000641,1.55E-05,7.79E-07,1.55E-05,0
NFT9816-USD,2023,5.33E-06,365,0.002739726,4.00E-13,0.002739726,0.000355,1.15E-06,5.33E-08,1.15E-06,35
NFT9816-USD,2024,0,0,0,0,0,0,,0,,0
GMX11857-USD,2021,806.4078506,109,0.009174312,0.000678794,0.009174312,1753.053542,20.67050976,8.064078506,20.67050976,67
GMX11857-USD,2022,1169.678974,365,0.002739726,8.78E-05,0.002739726,8698.259194,39.77629643,11.69678974,39.77629643,345
GMX11857-USD,2023,1586.60384,365,0.002739726,0.000119093,0.002739726,12659.74196,49.03965935,15.8660384,49.03965935,107
GMX11857-USD,2024,559.5944888,60,0.016666667,0.001554861,0.016666667,764.4833755,13.06255826,5.595944888,13.06255826,1
BTG-USD,2017,7633.244037,53,0.018867925,0.027183918,0.018867925,9018.169296,-33.83932455,76.33244037,-33.83932455,41
BTG-USD,2018,5535.455666,365,0.002739726,0.0004155,0.002739726,99033.34625,94.68572661,55.35455666,94.68572661,12
BTG-USD,2019,779.0540889,365,0.002739726,5.85E-05,0.002739726,6193.631622,29.55997897,7.790540889,29.55997897,175
BTG-USD,2020,169.0564054,366,0.00273224,1.26E-05,0.00273224,2171.772103,8.96546108,1.690564054,8.96546108,14
BTG-USD,2021,2903.713613,365,0.002739726,0.000217957,0.002739726,31626.36173,71.47572217,29.03713613,71.47572217,125
BTG-USD,2022,946.8077768,365,0.002739726,7.11E-05,0.002739726,7238.760332,34.24430239,9.468077768,34.24430239,83
BTG-USD,2023,209.7631229,365,0.002739726,1.57E-05,0.002739726,2544.19966,10.72694047,2.097631229,10.72694047,364
BTG-USD,2024,294.5147308,60,0.016666667,0.000818324,0.016666667,357.5902729,8.675375343,2.945147308,8.675375343,6
ELF-USD,2017,11.06964675,11,0.090909091,0.000922471,0.090909091,2.364779115,0.502632568,0.110696467,0.502632568,1
ELF-USD,2018,58.27383925,365,0.002739726,4.37E-06,0.002739726,615.6548927,3.718397391,0.582738393,3.718397391,8
ELF-USD,2019,6.117654653,365,0.002739726,4.59E-07,0.002739726,45.35558823,0.530121665,0.061176547,0.530121665,144
ELF-USD,2020,2.61459497,366,0.00273224,1.95E-07,0.00273224,54.83496063,0.248032157,0.02614595,0.248032157,253
ELF-USD,2021,21.11174586,365,0.002739726,1.58E-06,0.002739726,224.6952634,1.563959241,0.211117459,1.563959241,259
ELF-USD,2022,10.96748002,365,0.002739726,8.23E-07,0.002739726,99.96071767,0.88409427,0.1096748,0.88409427,3
ELF-USD,2023,12.1679618,365,0.002739726,9.13E-07,0.002739726,225.4707012,0.952005146,0.121679618,0.952005146,356
ELF-USD,2024,3.780480779,60,0.016666667,1.05E-05,0.016666667,4.760897458,0.276814229,0.037804808,0.276814229,50
ENJ-USD,2017,5.245881484,53,0.018867925,1.87E-05,0.018867925,5.895575345,0.358907797,0.052458815,0.358907797,52
ENJ-USD,2018,7.69215686,365,0.002739726,5.77E-07,0.002739726,126.2271814,0.642940877,0.076921569,0.642940877,5
ENJ-USD,2019,5.311740312,365,0.002739726,3.99E-07,0.002739726,44.25856478,0.467226642,0.053117403,0.467226642,66
ENJ-USD,2020,4.725563475,366,0.00273224,3.53E-07,0.00273224,36.7483464,0.420855014,0.047255635,0.420855014,236
ENJ-USD,2021,103.5118376,365,0.002739726,7.77E-06,0.002739726,1067.735568,6.02334052,1.035118376,6.02334052,328
ENJ-USD,2022,66.37282123,365,0.002739726,4.98E-06,0.002739726,712.6276287,4.142175405,0.663728212,4.142175405,1
ENJ-USD,2023,8.922725069,365,0.002739726,6.70E-07,0.002739726,78.94603071,0.738645755,0.089227251,0.738645755,53
ENJ-USD,2024,3.91530479,60,0.016666667,1.09E-05,0.016666667,6.573121667,0.284049164,0.039153048,0.284049164,59
KUJI-USD,2021,107.1146339,26,0.038461538,0.001586883,0.038461538,44.28057647,3.394327509,1.071146339,3.394327509,0
KUJI-USD,2022,54.24929772,351,0.002849003,4.40E-06,0.002849003,393.1366166,3.489843332,0.542492977,3.489843332,239
KUJI-USD,2023,96.41128845,365,0.002739726,7.24E-06,0.002739726,1500.493992,5.50207723,0.964112884,5.50207723,347
KUJI-USD,2024,53.80489532,60,0.016666667,0.0001495,0.016666667,70.12144566,2.514919277,0.538048953,2.514919277,3
PEPE24478-USD,2023,4.65E-05,259,0.003861004,6.93E-12,0.003861004,0.00073,9.27E-06,4.65E-07,9.27E-06,18
PEPE24478-USD,2024,2.19E-05,60,0.016666667,6.10E-11,0.016666667,0.000113,4.10E-06,2.19E-07,4.10E-06,57
METIS-USD,2021,4216.30547,233,0.004291845,0.000776655,0.004291845,50113.15891,68.89113717,42.1630547,68.89113717,231
METIS-USD,2022,6033.074309,365,0.002739726,0.000452852,0.002739726,91697.62712,101.7613641,60.33074309,101.7613641,15
METIS-USD,2023,1046.789935,365,0.002739726,7.86E-05,0.002739726,25227.76177,35.80916704,10.46789935,35.80916704,360
METIS-USD,2024,1237.859852,60,0.016666667,0.003439455,0.016666667,1709.786728,18.63065324,12.37859852,18.63065324,15
IOTX-USD,2018,1.082935875,221,0.004524887,2.22E-07,0.004524887,10.47778934,0.106449372,0.010829359,0.106449372,7
IOTX-USD,2019,0.342427157,365,0.002739726,2.57E-08,0.002739726,3.38360699,0.039471733,0.003424272,0.039471733,95
IOTX-USD,2020,0.265470582,366,0.00273224,1.98E-08,0.00273224,2.319526907,0.031320498,0.002654706,0.031320498,255
IOTX-USD,2021,4.845503349,365,0.002739726,3.64E-07,0.002739726,65.23539868,0.427781213,0.048455033,0.427781213,313
IOTX-USD,2022,2.933402988,365,0.002739726,2.20E-07,0.002739726,29.235976,0.274662748,0.02933403,0.274662748,0
IOTX-USD,2023,0.786857459,365,0.002739726,5.91E-08,0.002739726,13.47424738,0.083694544,0.007868575,0.083694544,353
IOTX-USD,2024,0.734978872,60,0.016666667,2.04E-06,0.016666667,1.314051967,0.065570363,0.007349789,0.065570363,48
GAS-USD,2017,558.3178074,53,0.018867925,0.001988311,0.018867925,857.6999054,12.17794224,5.583178074,12.17794224,39
GAS-USD,2018,1700.957284,365,0.002739726,0.000127676,0.002739726,24905.33288,50.75607164,17.00957284,50.75607164,14
GAS-USD,2019,88.42965963,365,0.002739726,6.64E-06,0.002739726,634.6665392,5.304013929,0.884296596,5.304013929,175
GAS-USD,2020,36.50388749,366,0.00273224,2.73E-06,0.00273224,318.0506427,2.506965933,0.365038875,2.506965933,44
