,Strategy Return,CMC Buy&Hold
2019-10-02,-0.009403751218026613,-0.01240562943983825
2019-10-04,-0.005477134242618309,-0.004557203155668321
2019-10-07,0.012457872293043737,0.01007888297262749
2019-10-08,0.04027355504299446,0.004032492818159428
2019-10-09,0.06395520280500144,0.05295683812967811
2019-10-10,0.09136540590479725,0.04853596481322442
2019-10-11,0.07884758153732485,0.018173025736684334
2019-10-14,0.13449225289618338,0.028961197133287042
2019-10-15,0.09787469205782551,0.004296566960826587
2019-10-16,0.16982725824456568,-0.017320149566454113
2019-10-17,0.15975335508543242,-0.0038342699969432514
2019-10-18,0.23872617005690921,-0.01919711566328619
2019-10-21,0.2355793972835909,0.009264601173856857
2019-10-22,0.23303129781843324,0.0011373714165390236
2019-10-23,0.10909445625434966,-0.07739071324581637
2019-10-24,0.13360455693738227,-0.07354271510758259
2019-10-25,0.2455484775529757,0.04339562934739405
2019-10-28,0.2515090836525502,0.12628657686361278
2019-10-29,0.31425144537622396,0.1283395968642731
2019-10-30,0.2639782311604508,0.10064239646815087
2019-10-31,0.28744552760644426,0.09711503445235725
2019-11-01,0.27929993029262357,0.10355252679160443
2019-11-04,0.28739878044726086,0.1257486201093807
2019-11-04,0.2913694681029886,0.1483911503176636
2019-11-05,0.27809612455897903,0.14994656500531334
2019-11-05,0.28657179532382293,0.15150408639227875
2019-11-06,0.26723081646563385,0.1526423628058573
2019-11-06,0.2890426842093121,0.15378176442012692
2019-11-07,0.26882926474521196,0.1392299286160883
2019-11-07,0.3378387945936314,0.12486162485580121
2019-11-08,0.2831727001643827,0.08125546623188096
2019-11-08,0.2814825954088944,0.0393397351484841
2019-11-11,0.2533832369779514,0.03277547016226823
2019-11-11,0.16033154768137692,0.02625266378034885
2019-11-12,0.19043862024300218,0.027665184573191448
2019-11-12,0.4294589125098114,0.029079649541245978
2019-11-13,0.45412302900760393,0.03183891834520658
2019-11-13,0.28952768337805246,0.03460558557001425
2019-11-14,0.2657238028796691,0.023527637960067294
2019-11-14,0.44821767698238535,0.012568306492310333
2019-11-15,0.39625034662294767,-0.01532417901777916
2019-11-15,0.3611347495640085,-0.0424483304382649
2019-11-18,0.28957156221684,-0.06120233926412233
2019-11-18,0.5780758326582893,-0.07958904378858234
2019-11-19,0.5418155625903252,-0.09367855665054203
2019-11-19,0.4590284002011962,-0.10755238936294709
2019-11-20,0.42983155536554873,-0.12476625818432696
2019-11-20,0.4642632836366305,-0.14164809935918954
2019-11-21,0.37570339517520757,-0.19137256410678383
2019-11-21,0.3193989482729038,-0.23821648255094607
2019-11-22,0.22659572945873974,-0.26750847417034784
2019-11-22,0.05919459309045316,-0.2956741342882434
2019-11-25,0.06933371725417103,-0.30882398836749936
2019-11-25,0.15165515572141497,-0.321728332987677
2019-11-26,0.18767928866018102,-0.32408643667291537
2019-11-26,0.1937504266452028,-0.32643634209002503
2019-11-27,0.23661988597446526,-0.29840747782693866
2019-11-27,0.46785680692776177,-0.26921225427078077
2019-11-29,0.5210722776519907,-0.2542571621474472
2019-11-29,0.7584815929251414,-0.23899602386813412
2019-12-02,0.74734559292603,-0.2777965747993075
2019-12-02,0.7439296026490927,-0.31461884072832524
2019-12-03,0.7808168639393858,-0.3133891321236003
2019-12-03,0.7950056528213238,-0.31215721717977196
2019-12-04,0.7643785111305088,-0.32454350080972116
2019-12-04,0.6576689458047551,-0.3367067392526111
2019-12-05,0.6906034448429541,-0.3225300984640659
2019-12-05,0.7668836729149415,-0.30805045875190573
2019-12-06,0.819296174676561,-0.29990153357692173
2019-12-06,1.0731481160390342,-0.29165664044828077
2019-12-09,1.0412114707775149,-0.2978674287467935
2019-12-09,0.8128000510811566,-0.3040237605578292
2019-12-10,0.7684245901575335,-0.3171782080020774
2019-12-10,0.7511730112820825,-0.33008402700507
2019-12-11,0.8034516874807938,-0.33471015138626103
2019-12-11,0.9471773561900052,-0.3393043299299844
2019-12-12,1.0600501308612742,-0.3390970574708122
2019-12-12,0.8773154141374222,-0.3388897199864336
2019-12-13,0.8760957010029442,-0.33472438117643455
2019-12-13,0.6755774229421352,-0.3305327985642643
2019-12-16,0.6729576064433822,-0.36759062790176955
2019-12-16,0.4842071089262314,-0.4025971503010669
2019-12-17,0.4234288362832048,-0.4377267516756599
2019-12-17,0.019694712620873744,-0.4707905964283021
2019-12-18,0.037504926758115564,-0.4299495819229038
2019-12-18,0.2602144905132442,-0.38595671778185525
2019-12-19,0.22698113330291214,-0.3858531077926489
2019-12-19,0.536287908057705,-0.38574948032091294
2019-12-20,0.5787119000505212,-0.38225334273055633
2019-12-20,0.5972312094702967,-0.37873730612886947
2019-12-23,0.6246216938635447,-0.3726489398767122
2019-12-23,0.462681590013424,-0.3665009077151321
2019-12-27,0.4690418186515528,-0.3640196334137501
2019-12-27,0.6468761506357767,-0.361528640515714
2019-12-30,0.658918580267617,-0.35475766056953917
2019-12-30,0.7001055250296095,-0.34791487447458336
2020-01-02,0.6452625912221326,-0.36416712920456085
2020-01-03,0.7179461371481044,-0.3360187410519049
2020-01-06,0.7290813323382068,-0.3016056855944821
2020-01-07,0.6293413915385291,-0.2725079978891509
2020-01-08,0.6678666427509949,-0.2794825383772819
2020-01-09,0.6650481644833084,-0.29132395974318637
2020-01-10,0.6515791426929267,-0.26964744667898544
2020-01-13,0.6238451854809965,-0.25675102988301635
2020-01-14,0.7620869964567902,-0.1854673065486545
2020-01-15,0.922148616535466,-0.17514258707922625
2020-01-16,1.008629312211716,-0.1874497610337712
2020-01-17,1.128675339565056,-0.1642014906087732
