,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold,CMC Buy&Hold
2019-10-02,0.011234789777132364,-0.017822935499864023,-0.01878134410543275,-0.009283463950587212,-0.01240562943983825
2019-10-03,-0.01722841718248226,0.00815976746676128,0.004683280259921929,0.0045313739445305146,-0.011956703646377242
2019-10-04,0.016524311712163613,0.01344131709505536,0.014123715103576018,0.009608199617539448,0.007947013994944463
2019-10-07,0.05245463903610792,-0.004323826420825405,-0.0036078468024047794,-0.0019409189507797464,0.014703091101461396
2019-10-08,-0.013161014000498213,-0.015646464085539158,-0.011929024071477556,-0.016961185058530504,-0.005986057382640908
2019-10-09,0.02360788849640332,0.009451418121659394,0.006930918391391927,0.004647600554966935,0.048727850603913936
2019-10-10,-9.237225222224251e-05,0.006740723322752551,0.00570223029461836,0.003980027326638158,-0.004198532320001114
2019-10-11,-0.027358773304059412,0.010313351464450449,0.012001658250587965,0.01770999689675179,-0.02895746077908612
2019-10-14,0.013373885305108581,-0.00111409714899402,-0.0010906088851037055,-0.004288546795817361,0.01059561697659106
2019-10-15,-0.04336060018739881,0.009851602959123795,0.008824880715584627,0.011800458858557406,-0.023970418166570973
2019-10-16,0.0012312059518538023,-0.0016073221510195523,-0.0008447778427349562,0.0011547257536301814,-0.021524236205144653
2019-10-17,0.0433244094809956,0.002944567666567366,0.0008847432267913291,0.010942694272219278,0.01372357392243373
2019-10-18,-0.016835791441627862,-0.0043865750849469975,-0.009505657865068073,-0.004133463219859301,-0.015421977692703592
2019-10-21,0.0075014787793143654,0.0067563149125673405,0.002143423257697563,0.01096556112711422,0.029018793981617108
2019-10-22,-0.01594840092386355,-0.0032721405483986388,-0.0014749781545795315,-0.000992523506989862,-0.008052625394634028
2019-10-23,-0.05273971259262948,0.0029054682688602895,0.0017101032709785358,0.001282321928508523,-0.07843887053306542
2019-10-24,0.03834150630625745,0.001632443842235709,-0.0010596644606106764,-0.0028181263280426805,0.0041707775907733335
2019-10-25,0.07808813977824394,0.004086705637780241,0.005674162000188332,0.0065782747929725716,0.1262209778711556
2019-10-28,-0.0221943236846862,0.005620632118178648,0.0049089144872223045,0.008445666888008851,0.07944344904728418
2019-10-29,0.025573370475094385,-0.0002967595168339443,-0.0007111887244342086,0.003264463094732939,0.0018228220444367338
2019-10-30,-0.023170422604312024,0.0030625278400657763,0.004247424139162348,-0.002679416196272655,-0.02454686556520258
2019-10-31,0.016640310660247994,-0.0026668320500995435,-0.0051798538094747215,-0.006634173955307077,-0.0032048211363768786
2019-11-01,0.0006880147652757124,0.009221475624928033,0.011072333470039553,0.01705744526168207,0.005867654837544478
2019-11-04,0.010852950633139624,0.004009407848112545,0.004187238821174333,0.005064806657686383,0.020113309315966887
2019-11-04,0.028406946440245214,0.004009407848112545,0.004187238821174333,0.005064806657686383,0.020113309315966887
2019-11-05,-0.004718093032999238,-0.0011067421748833794,0.0011107863446557786,0.0013825175915940235,0.0013544293572964605
2019-11-05,0.021507635345808348,-0.0011067421748833794,0.0011107863446557786,0.0013825175915940235,0.0013544293572964605
2019-11-06,0.0030668237457540442,0.00022810316421839616,-2.5575067841288046e-06,-0.006315149603295822,0.000988512700067723
2019-11-06,-0.00896844670108542,0.00022810316421839616,-2.5575067841288046e-06,-0.006315149603295822,0.000988512700067723
2019-11-07,-0.02072226110191885,0.0035106776062416856,0.006606837553604805,0.0027956099230195264,-0.012612294848802996
2019-11-07,0.02555765558332538,0.0035106776062416856,0.006606837553604805,0.0027956099230195264,-0.012612294848802996
2019-11-08,-0.043185972143228425,0.002462791306922618,0.00023265584156284547,0.00305056543908222,-0.03876579808606273
2019-11-08,-0.039073872505157564,0.002462791306922618,0.00023265584156284547,0.00305056543908222,-0.03876579808606273
2019-11-11,-0.01689429098058877,-0.001911438427334211,0.0003702183378102575,-0.0025613286761743126,-0.006315802970121354
2019-11-11,-0.021638549262290634,-0.001911438427334211,0.0003702183378102575,-0.0025613286761743126,-0.006315802970121354
2019-11-12,0.027738429086041735,0.0021057953855461164,0.0,0.00021942799641028188,0.0013763869685261554
2019-11-12,-0.010329888140792791,0.0021057953855461164,0.0,0.00021942799641028188,0.0013763869685261554
2019-11-13,0.05024680831391784,0.0003236323685413822,0.0033203987758891884,-0.0037307717268051377,0.00268129760917013
2019-11-13,0.021878277219116046,0.0003236323685413822,0.0033203987758891884,-0.0037307717268051377,0.00268129760917013
2019-11-14,-0.011213296343349922,0.0014547863396874305,-5.863007664075326e-05,-0.0002454489117331704,-0.010707411369564213
2019-11-14,-0.01786896319820092,0.0014547863396874305,-5.863007664075326e-05,-0.0002454489117331704,-0.010707411369564213
2019-11-15,-0.03206750109746899,0.007210202117948761,0.007992237163660931,0.004809638770711722,-0.027546275477170923
2019-11-15,-0.021769894031478478,0.007210202117948761,0.007992237163660931,0.004809638770711722,-0.027546275477170923
2019-11-18,-0.045230955915132126,0.0007374465453091616,0.0011181106386555228,-0.0025777725936322327,-0.0195853753087194
2019-11-18,-0.05781388059468694,0.0007374465453091616,0.0011181106386555228,-0.0025777725936322327,-0.0195853753087194
2019-11-19,-0.017209579142532655,-0.0002886747982957516,-0.0036519866641686605,0.0037297211714388823,-0.015307850006430535
2019-11-19,-0.02469421723457948,-0.0002886747982957516,-0.0036519866641686605,0.0037297211714388823,-0.015307850006430535
2019-11-20,-0.02759230081550232,-0.0037256923223925043,-0.0040509235188324055,-0.004188258832353853,-0.019288380198689836
