,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold
2019-10-02,0.011234789777132326,-0.017822935499864023,-0.01878134410543275,-0.009283463950587212
2019-10-03,-0.006187185050587796,-0.009808599042356758,-0.01418602214361464,-0.004794156852717335
2019-10-04,0.01023488768717895,0.0035008775627121125,-0.0002626663752479663,0.004767979548783385
2019-10-07,0.06322639406249309,-0.0008380860450151184,-0.0038695655176107513,0.0028178063361403716
2019-10-08,0.04923325660453726,-0.016471437047350324,-0.015752429448882554,-0.014191172057116397
2019-10-09,0.07400343833317535,-0.0071756973642900235,-0.008930689860466967,-0.009609526401277768
2019-10-10,0.07390423021668213,-0.0004833434321179775,-0.0032793844161228547,-0.005667745252312728
2019-10-11,0.0445235278319136,0.009825023141639022,0.0086829157834305,0.011941875893608955
2019-10-14,0.05849286569162482,0.00869997996237415,0.007582837233224726,0.007602115804192122
2019-10-15,0.012595979741156338,0.01863729166983963,0.016474635582878427,0.019492283117534814
2019-10-16,0.013842693938236783,0.017000013387084012,0.015615940333035816,0.020669517112477775
2019-10-17,0.0577668299597327,0.019994638743402238,0.016514499657266812,0.03183839159121349
2019-10-18,0.039958488216658816,0.01552035567431087,0.006851860608643845,0.02757332555073244
2019-10-21,0.04775971474738405,0.022381530997368948,0.00900997030372852,0.038841243664651026
2019-10-22,0.031049622744719674,0.019036154933858684,0.007521702639777583,0.03781016931028325
2019-10-23,-0.02332763802757587,0.021996932146840287,0.009244668799043732,0.039140976048018805
2019-10-24,0.014119451498137314,0.02366528474550722,0.008175208091456554,0.036212545504870075
2019-10-25,0.09331015297855982,0.027848703435876532,0.013895757546741105,0.04302903637312672
2019-10-28,0.06904487355559996,0.03362586287103664,0.018872885119495475,0.05183811216885492
2019-10-29,0.09638395416153767,0.033319124559383795,0.01814827421196674,0.055271798867663646
2019-10-30,0.07098027460702827,0.03648369314601929,0.02247278176910128,0.0524442865183079
2019-10-31,0.0888017190874868,0.033719565213732094,0.01717652223537036,0.0454621880432764
2019-11-01,0.08955083074667658,0.0432519849873616,0.028439039887455442,0.06329510208898292
2019-11-04,0.10137567212506671,0.04743480768352892,0.03274535976048343,0.06868048620112854
2019-11-04,0.13266239185371242,0.05163440102184169,0.037069711223260304,0.07409314624257957
