,Strategy Return,SPY Buy&Hold,DJIA Buy&Hold,Russell 2000 Buy&Hold,CMC Buy&Hold
2019-10-02,0.011234789777132326,-0.017822935499864023,-0.01878134410543275,-0.009283463950587212,-0.01240562943983825
2019-10-03,-0.006187185050587796,-0.009808599042356758,-0.01418602214361464,-0.004794156852717335,-0.024214002651456568
2019-10-04,0.01023488768717895,0.0035008775627121125,-0.0002626663752479663,0.004767979548783385,-0.01645941767445691
2019-10-07,0.06322639406249309,-0.0008380860450151184,-0.0038695655176107513,0.0028178063361403716,-0.0019983308905400232
2019-10-08,0.04923325660453726,-0.016471437047350324,-0.015752429448882554,-0.014191172057116397,-0.007972426149800649
2019-10-09,0.07400343833317535,-0.0071756973642900235,-0.008930689860466967,-0.009609526401277768,0.04036694526373519
2019-10-10,0.07390423021668213,-0.0004833434321179775,-0.0032793844161228547,-0.005667745252312728,0.03599893101938445
2019-10-11,0.0445235278319136,0.009825023141639022,0.0086829157834305,0.011941875893608955,0.00599903260721546
2019-10-14,0.05849286569162482,0.00869997996237415,0.007582837233224726,0.007602115804192122,0.0166582130355426
2019-10-15,0.012595979741156338,0.01863729166983963,0.016474635582878427,0.019492283117534814,-0.0077115094633980474
2019-10-16,0.013842693938236783,0.017000013387084012,0.015615940333035816,0.020669517112477775,-0.02906976131735428
2019-10-17,0.0577668299597327,0.019994638743402238,0.016514499657266812,0.03183839159121349,-0.015745128413266807
2019-10-18,0.039958488216658816,0.01552035567431087,0.006851860608643845,0.02757332555073244,-0.03092428508681222
2019-10-21,0.04775971474738405,0.022381530997368948,0.00900997030372852,0.038841243664651026,-0.002802876563158141
2019-10-22,0.031049622744719674,0.019036154933858684,0.007521702639777583,0.03781016931028325,-0.010832931442801619
2019-10-23,-0.02332763802757587,0.021996932146840287,0.009244668799043732,0.039140976048018805,-0.08842207906893162
2019-10-24,0.014119451498137314,0.02366528474550722,0.008175208091456554,0.036212545504870075,-0.08462009030406858
2019-10-25,0.09331015297855982,0.027848703435876532,0.013895757546741105,0.04302903637312672,0.030920057021362135
2019-10-28,0.06904487355559996,0.03362586287103664,0.018872885119495475,0.05183811216885492,0.11281990204316195
2019-10-29,0.09638395416153767,0.033319124559383795,0.01814827421196674,0.055271798867663646,0.11484837469209408
2019-10-30,0.07098027460702827,0.03648369314601929,0.02247278176910128,0.0524442865183079,0.08748234151294265
2019-10-31,0.0888017190874868,0.033719565213732094,0.01717652223537036,0.0454621880432764,0.0839971551194254
2019-11-01,0.08955083074667658,0.0432519849873616,0.028439039887455442,0.06329510208898292,0.09035767627054625
2019-11-04,0.10137567212506671,0.04743480768352892,0.03274535976048343,0.06868048620112854,0.11228837747841469
2019-11-04,0.13266239185371242,0.05163440102184169,0.037069711223260304,0.07409314624257957,0.13466017766319305
2019-11-05,0.12731838531396722,0.05047051287767257,0.038221674096943214,0.07557809891227052,0.1361969947183752
2019-11-05,0.15156433806392555,0.0493079128575995,0.03937491655525571,0.07706510455515003,0.13773589328369384
2019-11-06,0.1550959829206635,0.0495472633127616,0.03937225834685543,0.07026327728739479,0.13886055966352773
2019-11-06,0.14473656616320163,0.04978666836452006,0.03936960014525348,0.06350440457641127,0.1399863377903614
2019-11-07,0.12101503614625386,0.05347213091247838,0.046236546251568145,0.06647754804301997,0.1256084939745421
2019-11-07,0.14966555234380885,0.05717053193127253,0.05314886115529682,0.06945900325900656,0.11141198776421812
2019-11-08,0.10001612782625968,0.05977412232724766,0.053393882389879854,0.07272145793286389,0.06832721505612094
2019-11-08,0.05703423789395923,0.06238412482301681,0.05363896063008444,0.07599386493819571,0.02691265794740949
2019-11-11,0.0391763939025338,0.0603534429822401,0.05402903709474116,0.07323789099654188,0.020426879932289976
2019-11-11,0.016690124310864363,0.058326642664767725,0.05441925797285796,0.07048897600997561,0.013982064813222062
2019-11-12,0.044891511226540226,0.06055526202529182,0.05441925797285796,0.07072387126116086,0.015377696513550143
2019-11-12,0.03409789879630609,0.06278857440218122,0.05441925797285796,0.07095881805494031,0.01677524914316364
2019-11-13,0.08605801769494925,0.06313252718577389,0.05792035038630505,0.06696331517596832,0.01950152618775447
2019-11-13,0.10981909608212304,0.06347659128362038,0.06143306782271618,0.06298271860617155,0.02223511319246696
2019-11-14,0.09737436567024549,0.06502372250119715,0.061370835920600664,0.0627218106546985,0.011289621319102272
2019-11-14,0.0777654235154348,0.06657310446413489,0.0613086076671463,0.06246096674279822,0.0004613273298677001
2019-11-15,0.04320417961403944,0.07426331212088932,0.06979083776345685,0.06757102020081218,-0.027097655997016856
2019-11-15,0.020493735170646454,0.08200896772917798,0.078340859854374,0.07270565117005812,-0.05389749197730831
2019-11-18,-0.025664171976525596,0.08280689150442333,0.07954656424187423,0.06994045994143772,-0.07242726467745342
2019-11-18,-0.08199430719700018,0.08360540370580027,0.08075361674027692,0.06718239674698223,-0.09059412482488094
2019-11-19,-0.097792798820589,0.08329259413445333,0.07680671894468949,0.07116268952591653,-0.10451517355702833
2019-11-19,-0.12007209943711528,0.08297987486334635,0.07287423516721625,0.07515782768709656,-0.11822312096325183
2019-11-20,-0.14435133476539985,0.0789450250582624,0.0685281036952281,0.07065478841911177,-0.13523116865652673
2019-11-20,-0.15935771355767592,0.0749252078621192,0.06419957806943555,0.06617060904511352,-0.15191115865945637
2019-11-21,-0.2091330619380135,0.07319449236410569,0.062101296469366574,0.06103373780328414,-0.20104108271808896
2019-11-21,-0.24516323211835767,0.07146656345637137,0.060007152049732504,0.05592161630219161,-0.24732490231177928
